date,state,daily
2009-12-25,Malaysia,5.0
2009-12-26,Malaysia,3.0
2009-12-27,Malaysia,15.0
2009-12-28,Malaysia,2.0
2009-12-29,Malaysia,4.0
2009-12-30,Malaysia,1.0
2009-12-31,Malaysia,8.0
2010-01-01,Malaysia,329.0
2010-01-02,Malaysia,0.0
2010-01-03,Malaysia,5.0
2010-01-04,Malaysia,6.0
2010-01-05,Malaysia,7.0
2010-01-06,Malaysia,6.0
2010-01-07,Malaysia,7.0
2010-01-08,Malaysia,15.0
2010-01-09,Malaysia,21.0
2010-01-10,Malaysia,29.0
2010-01-11,Malaysia,6.0
2010-01-12,Malaysia,18.0
2010-01-13,Malaysia,23.0
2010-01-14,Malaysia,12.0
2010-01-15,Malaysia,10.0
2010-01-16,Malaysia,67.0
2010-01-17,Malaysia,5.0
2010-01-18,Malaysia,14.0
2010-01-19,Malaysia,15.0
2010-01-20,Malaysia,8.0
2010-01-21,Malaysia,5.0
2010-01-22,Malaysia,13.0
2010-01-23,Malaysia,46.0
2010-01-24,Malaysia,47.0
2010-01-25,Malaysia,16.0
2010-01-26,Malaysia,44.0
2010-01-27,Malaysia,25.0
2010-01-28,Malaysia,11.0
2010-01-29,Malaysia,4.0
2010-01-30,Malaysia,93.0
2010-01-31,Malaysia,12.0
2010-02-01,Malaysia,17.0
2010-02-02,Malaysia,10.0
2010-02-03,Malaysia,17.0
2010-02-04,Malaysia,9.0
2010-02-05,Malaysia,10.0
2010-02-06,Malaysia,71.0
2010-02-07,Malaysia,30.0
2010-02-08,Malaysia,13.0
2010-02-09,Malaysia,11.0
2010-02-10,Malaysia,10.0
2010-02-11,Malaysia,11.0
2010-02-12,Malaysia,4.0
2010-02-13,Malaysia,6.0
2010-02-14,Malaysia,5.0
2010-02-15,Malaysia,19.0
2010-02-16,Malaysia,6.0
2010-02-17,Malaysia,1.0
2010-02-18,Malaysia,8.0
2010-02-19,Malaysia,7.0
2010-02-20,Malaysia,6.0
2010-02-21,Malaysia,45.0
2010-02-22,Malaysia,12.0
2010-02-23,Malaysia,31.0
2010-02-24,Malaysia,17.0
2010-02-25,Malaysia,12.0
2010-02-26,Malaysia,5.0
2010-02-27,Malaysia,67.0
2010-02-28,Malaysia,135.0
2010-03-01,Malaysia,22.0
2010-03-02,Malaysia,8.0
2010-03-03,Malaysia,10.0
2010-03-04,Malaysia,10.0
2010-03-05,Malaysia,10.0
2010-03-06,Malaysia,36.0
2010-03-07,Malaysia,104.0
2010-03-08,Malaysia,13.0
2010-03-09,Malaysia,34.0
2010-03-10,Malaysia,34.0
2010-03-11,Malaysia,53.0
2010-03-12,Malaysia,9.0
2010-03-13,Malaysia,30.0
2010-03-14,Malaysia,61.0
2010-03-15,Malaysia,27.0
2010-03-16,Malaysia,19.0
2010-03-17,Malaysia,25.0
2010-03-18,Malaysia,12.0
2010-03-19,Malaysia,7.0
2010-03-20,Malaysia,20.0
2010-03-21,Malaysia,9.0
2010-03-22,Malaysia,8.0
2010-03-23,Malaysia,28.0
2010-03-24,Malaysia,7.0
2010-03-25,Malaysia,18.0
2010-03-26,Malaysia,41.0
2010-03-27,Malaysia,50.0
2010-03-28,Malaysia,22.0
2010-03-29,Malaysia,6.0
2010-03-30,Malaysia,30.0
2010-03-31,Malaysia,8.0
2010-04-01,Malaysia,9.0
2010-04-02,Malaysia,33.0
2010-04-03,Malaysia,2.0
2010-04-04,Malaysia,13.0
2010-04-05,Malaysia,2.0
2010-04-06,Malaysia,3.0
2010-04-07,Malaysia,4.0
2010-04-08,Malaysia,20.0
2010-04-09,Malaysia,6.0
2010-04-10,Malaysia,13.0
2010-04-11,Malaysia,73.0
2010-04-12,Malaysia,14.0
2010-04-13,Malaysia,20.0
2010-04-14,Malaysia,30.0
2010-04-15,Malaysia,20.0
2010-04-16,Malaysia,4.0
2010-04-17,Malaysia,20.0
2010-04-18,Malaysia,48.0
2010-04-19,Malaysia,14.0
2010-04-20,Malaysia,8.0
2010-04-21,Malaysia,41.0
2010-04-22,Malaysia,14.0
2010-04-23,Malaysia,1.0
2010-04-24,Malaysia,28.0
2010-04-25,Malaysia,17.0
2010-04-26,Malaysia,3.0
2010-04-27,Malaysia,8.0
2010-04-28,Malaysia,5.0
2010-04-29,Malaysia,3.0
2010-04-30,Malaysia,2.0
2010-05-01,Malaysia,5.0
2010-05-02,Malaysia,26.0
2010-05-03,Malaysia,0.0
2010-05-04,Malaysia,3.0
2010-05-05,Malaysia,6.0
2010-05-06,Malaysia,2.0
2010-05-07,Malaysia,0.0
2010-05-08,Malaysia,4.0
2010-05-09,Malaysia,2.0
2010-05-10,Malaysia,9.0
2010-05-11,Malaysia,4.0
2010-05-12,Malaysia,6.0
2010-05-13,Malaysia,20.0
2010-05-14,Malaysia,7.0
2010-05-15,Malaysia,29.0
2010-05-16,Malaysia,8.0
2010-05-17,Malaysia,1.0
2010-05-18,Malaysia,92.0
2010-05-19,Malaysia,3.0
2010-05-20,Malaysia,2.0
2010-05-21,Malaysia,5.0
2010-05-22,Malaysia,28.0
2010-05-23,Malaysia,46.0
2010-05-24,Malaysia,15.0
2010-05-25,Malaysia,94.0
2010-05-26,Malaysia,0.0
2010-05-27,Malaysia,0.0
2010-05-28,Malaysia,6.0
2010-05-29,Malaysia,0.0
2010-05-30,Malaysia,12.0
2010-05-31,Malaysia,2.0
2010-06-01,Malaysia,1.0
2010-06-02,Malaysia,26.0
2010-06-03,Malaysia,3.0
2010-06-04,Malaysia,1.0
2010-06-05,Malaysia,3.0
2010-06-06,Malaysia,13.0
2010-06-07,Malaysia,11.0
2010-06-08,Malaysia,2.0
2010-06-09,Malaysia,4.0
2010-06-10,Malaysia,6.0
2010-06-11,Malaysia,2.0
2010-06-12,Malaysia,2.0
2010-06-13,Malaysia,0.0
2010-06-14,Malaysia,3.0
2010-06-15,Malaysia,1.0
2010-06-16,Malaysia,2.0
2010-06-17,Malaysia,2.0
2010-06-18,Malaysia,5.0
2010-06-19,Malaysia,0.0
2010-06-20,Malaysia,7.0
2010-06-21,Malaysia,4.0
2010-06-22,Malaysia,3.0
2010-06-23,Malaysia,16.0
2010-06-24,Malaysia,10.0
2010-06-25,Malaysia,4.0
2010-06-26,Malaysia,6.0
2010-06-27,Malaysia,17.0
2010-06-28,Malaysia,2.0
2010-06-29,Malaysia,0.0
2010-06-30,Malaysia,8.0
2010-07-01,Malaysia,14.0
2010-07-02,Malaysia,1.0
2010-07-03,Malaysia,6.0
2010-07-04,Malaysia,40.0
2010-07-05,Malaysia,3.0
2010-07-06,Malaysia,6.0
2010-07-07,Malaysia,83.0
2010-07-08,Malaysia,91.0
2010-07-09,Malaysia,44.0
2010-07-10,Malaysia,2.0
2010-07-11,Malaysia,46.0
2010-07-12,Malaysia,73.0
2010-07-13,Malaysia,67.0
2010-07-14,Malaysia,104.0
2010-07-15,Malaysia,27.0
2010-07-16,Malaysia,68.0
2010-07-17,Malaysia,12.0
2010-07-18,Malaysia,8.0
2010-07-19,Malaysia,22.0
2010-07-20,Malaysia,8.0
2010-07-21,Malaysia,4.0
2010-07-22,Malaysia,16.0
2010-07-23,Malaysia,39.0
2010-07-24,Malaysia,7.0
2010-07-25,Malaysia,4.0
2010-07-26,Malaysia,42.0
2010-07-27,Malaysia,4.0
2010-07-28,Malaysia,7.0
2010-07-29,Malaysia,9.0
2010-07-30,Malaysia,20.0
2010-07-31,Malaysia,0.0
2010-08-01,Malaysia,11.0
2010-08-02,Malaysia,32.0
2010-08-03,Malaysia,54.0
2010-08-04,Malaysia,72.0
2010-08-05,Malaysia,72.0
2010-08-06,Malaysia,43.0
2010-08-07,Malaysia,53.0
2010-08-08,Malaysia,96.0
2010-08-09,Malaysia,44.0
2010-08-10,Malaysia,6.0
2010-08-11,Malaysia,1.0
2010-08-12,Malaysia,17.0
2010-08-13,Malaysia,100.0
2010-08-14,Malaysia,9.0
2010-08-15,Malaysia,56.0
2010-08-16,Malaysia,107.0
2010-08-17,Malaysia,119.0
2010-08-18,Malaysia,102.0
2010-08-19,Malaysia,52.0
2010-08-20,Malaysia,19.0
2010-08-21,Malaysia,5.0
2010-08-22,Malaysia,67.0
2010-08-23,Malaysia,30.0
2010-08-24,Malaysia,39.0
2010-08-25,Malaysia,47.0
2010-08-26,Malaysia,8.0
2010-08-27,Malaysia,37.0
2010-08-28,Malaysia,0.0
2010-08-29,Malaysia,27.0
2010-08-30,Malaysia,52.0
2010-08-31,Malaysia,41.0
2010-09-01,Malaysia,3.0
2010-09-02,Malaysia,92.0
2010-09-03,Malaysia,83.0
2010-09-04,Malaysia,39.0
2010-09-05,Malaysia,24.0
2010-09-06,Malaysia,69.0
2010-09-07,Malaysia,59.0
2010-09-08,Malaysia,25.0
2010-09-09,Malaysia,9.0
2010-09-10,Malaysia,1.0
2010-09-11,Malaysia,1.0
2010-09-12,Malaysia,9.0
2010-09-13,Malaysia,7.0
2010-09-14,Malaysia,22.0
2010-09-15,Malaysia,3.0
2010-09-16,Malaysia,27.0
2010-09-17,Malaysia,7.0
2010-09-18,Malaysia,17.0
2010-09-19,Malaysia,12.0
2010-09-20,Malaysia,19.0
2010-09-21,Malaysia,66.0
2010-09-22,Malaysia,79.0
2010-09-23,Malaysia,55.0
2010-09-24,Malaysia,33.0
2010-09-25,Malaysia,20.0
2010-09-26,Malaysia,101.0
2010-09-27,Malaysia,27.0
2010-09-28,Malaysia,13.0
2010-09-29,Malaysia,116.0
2010-09-30,Malaysia,64.0
2010-10-01,Malaysia,27.0
2010-10-02,Malaysia,8.0
2010-10-03,Malaysia,45.0
2010-10-04,Malaysia,68.0
2010-10-05,Malaysia,73.0
2010-10-06,Malaysia,59.0
2010-10-07,Malaysia,33.0
2010-10-08,Malaysia,4.0
2010-10-09,Malaysia,2.0
2010-10-10,Malaysia,24.0
2010-10-11,Malaysia,25.0
2010-10-12,Malaysia,30.0
2010-10-13,Malaysia,27.0
2010-10-14,Malaysia,44.0
2010-10-15,Malaysia,19.0
2010-10-16,Malaysia,17.0
2010-10-17,Malaysia,79.0
2010-10-18,Malaysia,101.0
2010-10-19,Malaysia,29.0
2010-10-20,Malaysia,91.0
2010-10-21,Malaysia,45.0
2010-10-22,Malaysia,18.0
2010-10-23,Malaysia,102.0
2010-10-24,Malaysia,68.0
2010-10-25,Malaysia,51.0
2010-10-26,Malaysia,25.0
2010-10-27,Malaysia,94.0
2010-10-28,Malaysia,47.0
2010-10-29,Malaysia,103.0
2010-10-30,Malaysia,17.0
2010-10-31,Malaysia,231.0
2010-11-01,Malaysia,109.0
2010-11-02,Malaysia,18.0
2010-11-03,Malaysia,37.0
2010-11-04,Malaysia,14.0
2010-11-05,Malaysia,10.0
2010-11-06,Malaysia,3.0
2010-11-07,Malaysia,54.0
2010-11-08,Malaysia,117.0
2010-11-09,Malaysia,218.0
2010-11-10,Malaysia,146.0
2010-11-11,Malaysia,103.0
2010-11-12,Malaysia,90.0
2010-11-13,Malaysia,21.0
2010-11-14,Malaysia,16.0
2010-11-15,Malaysia,116.0
2010-11-16,Malaysia,28.0
2010-11-17,Malaysia,7.0
2010-11-18,Malaysia,8.0
2010-11-19,Malaysia,41.0
2010-11-20,Malaysia,10.0
2010-11-21,Malaysia,51.0
2010-11-22,Malaysia,76.0
2010-11-23,Malaysia,52.0
2010-11-24,Malaysia,17.0
2010-11-25,Malaysia,7.0
2010-11-26,Malaysia,5.0
2010-11-27,Malaysia,1.0
2010-11-28,Malaysia,40.0
2010-11-29,Malaysia,101.0
2010-11-30,Malaysia,105.0
2010-12-01,Malaysia,14.0
2010-12-02,Malaysia,60.0
2010-12-03,Malaysia,89.0
2010-12-04,Malaysia,5.0
2010-12-05,Malaysia,11.0
2010-12-06,Malaysia,65.0
2010-12-07,Malaysia,0.0
2010-12-08,Malaysia,73.0
2010-12-09,Malaysia,115.0
2010-12-10,Malaysia,66.0
2010-12-11,Malaysia,0.0
2010-12-12,Malaysia,14.0
2010-12-13,Malaysia,110.0
2010-12-14,Malaysia,55.0
2010-12-15,Malaysia,75.0
2010-12-16,Malaysia,42.0
2010-12-17,Malaysia,132.0
2010-12-18,Malaysia,13.0
2010-12-19,Malaysia,11.0
2010-12-20,Malaysia,80.0
2010-12-21,Malaysia,109.0
2010-12-22,Malaysia,195.0
2010-12-23,Malaysia,148.0
2010-12-24,Malaysia,89.0
2010-12-25,Malaysia,6.0
2010-12-26,Malaysia,5.0
2010-12-27,Malaysia,55.0
2010-12-28,Malaysia,176.0
2010-12-29,Malaysia,156.0
2010-12-30,Malaysia,42.0
2010-12-31,Malaysia,7.0
2011-01-01,Malaysia,9.0
2011-01-02,Malaysia,31.0
2011-01-03,Malaysia,95.0
2011-01-04,Malaysia,94.0
2011-01-05,Malaysia,112.0
2011-01-06,Malaysia,94.0
2011-01-07,Malaysia,69.0
2011-01-08,Malaysia,25.0
2011-01-09,Malaysia,6.0
2011-01-10,Malaysia,119.0
2011-01-11,Malaysia,217.0
2011-01-12,Malaysia,266.0
2011-01-13,Malaysia,265.0
2011-01-14,Malaysia,138.0
2011-01-15,Malaysia,17.0
2011-01-16,Malaysia,80.0
2011-01-17,Malaysia,120.0
2011-01-18,Malaysia,217.0
2011-01-19,Malaysia,190.0
2011-01-20,Malaysia,89.0
2011-01-21,Malaysia,241.0
2011-01-22,Malaysia,76.0
2011-01-23,Malaysia,89.0
2011-01-24,Malaysia,204.0
2011-01-25,Malaysia,175.0
2011-01-26,Malaysia,194.0
2011-01-27,Malaysia,137.0
2011-01-28,Malaysia,168.0
2011-01-29,Malaysia,7.0
2011-01-30,Malaysia,50.0
2011-01-31,Malaysia,109.0
2011-02-01,Malaysia,12.0
2011-02-02,Malaysia,42.0
2011-02-03,Malaysia,2.0
2011-02-04,Malaysia,7.0
2011-02-05,Malaysia,0.0
